,Unnamed: 0,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
0,0,E19E6F1B8D4C42ED,electric_bike,2021-01-23 16:14:19,2021-01-23 16:24:44,California Ave & Cortez St,17660,,,41.900340666666665,-87.696743,41.89,-87.72,member
1,1,DC88F20C2C55F27F,electric_bike,2021-01-27 18:43:08,2021-01-27 18:47:12,California Ave & Cortez St,17660,,,41.90033283333333,-87.696707,41.9,-87.69,member
2,2,EC45C94683FE3F27,electric_bike,2021-01-21 22:35:54,2021-01-21 22:37:14,California Ave & Cortez St,17660,,,41.900312666666665,-87.69664266666666,41.9,-87.7,member
3,3,4FA453A75AE377DB,electric_bike,2021-01-07 13:31:13,2021-01-07 13:42:55,California Ave & Cortez St,17660,,,41.90039866666667,-87.69666216666667,41.92,-87.69,member
4,4,BE5E8EB4E7263A0B,electric_bike,2021-01-23 02:24:02,2021-01-23 02:24:45,California Ave & Cortez St,17660,,,41.90032633333333,-87.69669716666667,41.9,-87.7,casual
5,5,5D8969F88C773979,electric_bike,2021-01-09 14:24:07,2021-01-09 15:17:54,California Ave & Cortez St,17660,,,41.90040866666666,-87.69676283333334,41.94,-87.71,casual
6,6,09275CC10F854E9E,electric_bike,2021-01-04 05:05:04,2021-01-04 05:10:39,California Ave & Cortez St,17660,,,41.9003905,-87.69675733333334,41.9,-87.71,member
7,7,DF7A32A217AEFB14,electric_bike,2021-01-14 15:07:00,2021-01-14 15:13:40,California Ave & Cortez St,17660,,,41.9003895,-87.69672833333334,41.91,-87.7,member
8,8,C2EFC62379EB716C,electric_bike,2021-01-09 09:57:55,2021-01-09 10:00:26,California Ave & Cortez St,17660,,,41.90030583333333,-87.69679633333334,41.9,-87.7,member
9,9,B9F73448DFBE0D45,classic_bike,2021-01-24 19:15:38,2021-01-24 19:22:51,California Ave & Cortez St,17660,Wood St & Augusta Blvd,657,41.900363,-87.696704,41.899181,-87.6722,member
10,10,457C7F4B5D3DA135,electric_bike,2021-01-23 12:57:38,2021-01-23 13:02:10,California Ave & Cortez St,17660,California Ave & North Ave,13258,41.90040616666667,-87.69673316666666,41.9104355,-87.6968905,member
11,11,57C750326F9FDABE,electric_bike,2021-01-09 15:28:04,2021-01-09 15:37:51,California Ave & Cortez St,17660,Wood St & Augusta Blvd,657,41.9003735,-87.69668783333333,41.89917966666667,-87.6721775,casual
12,12,4D518C65E338D070,electric_bike,2021-01-09 15:28:57,2021-01-09 15:37:54,California Ave & Cortez St,17660,Wood St & Augusta Blvd,657,41.9003785,-87.69671566666666,41.89914866666667,-87.67217666666667,casual
13,13,9D08A3AFF410474D,classic_bike,2021-01-24 15:56:59,2021-01-24 16:07:08,California Ave & Cortez St,17660,Wood St & Augusta Blvd,657,41.900363,-87.696704,41.899181,-87.6722,casual
14,14,49FCE1F8598F12C6,electric_bike,2021-01-22 15:15:28,2021-01-22 15:36:01,California Ave & Cortez St,17660,Wells St & Elm St,KA1504000135,41.9003725,-87.69679033333334,41.90327166666667,-87.6344575,member
15,15,0FEED5C2C8749A1C,classic_bike,2021-01-05 10:33:12,2021-01-05 10:39:12,California Ave & Cortez St,17660,Sacramento Blvd & Franklin Blvd,KA1504000113,41.900363,-87.696704,41.89046879243862,-87.70260751247406,member
16,16,E276FD43BDED6420,classic_bike,2021-01-30 11:59:16,2021-01-30 12:03:44,California Ave & Cortez St,17660,Western Ave & Walton St,KA1504000103,41.900363,-87.696704,41.89841768945,-87.6865960164,member
17,17,88BFCF66C2D585EC,electric_bike,2021-01-27 07:27:09,2021-01-27 07:45:32,California Ave & Cortez St,17660,Damen Ave & Clybourn Ave,13271,41.90031333333334,-87.6967915,41.9318415,-87.677814,member
